Iterations,Time_Python,Memory_python,Time_java,Memory_java,Time_Heap_Java,Time_Heap_Python,Memory_Heap_Java,Memory_Heap_Python
0,0,0,0,0,0,0,0,0
50000,0.33727,0.809206,0.0256857,2,0.326337,0.0428123,1,0.008125
100000,0.59663,1.60981,0.0458798,3,0.708493,0.0701166,3,0.008637
150000,0.941708,2.410414,0.0450265,5,1.18824,0.1079968,5,0.009149
200000,1.31911,3.210414,0.0860334,6,1.556175,0.1315875,8,0.009149
250000,1.64575,4.010422,0.0781236,8,2.149323,0.1691754,10,0.009149
300000,2.08629,4.811018,0.1150977,9,2.849883,0.2613647,12,0.009661
350000,2.43123,5.611018,0.1137986,11,2.831486,0.296134,12,0.009661
400000,2.9019,6.411018,0.1694386,13,3.534717,0.3271692,15,0.009661
450000,3.14367,7.211002,0.1460061,14,3.816667,0.3869372,17,0.009661
500000,3.591356,8.011026,0.2886448,15,4.306564,0.4484,17,0.009661
550000,4.07695,8.811646,0.2079197,17,4.761148,0.594112,17,0.010173
600000,4.507152,9.611622,0.2886082,18,5.321521,0.6061401,17,0.010173
650000,4.70349,10.41163,0.2373737,19,6.29836,0.6145432,18,0.010173
700000,4.98338,11.211622,0.2540433,21,6.538198,0.6918523,18,0.010173
750000,5.74123,12.011622,0.2739013,22,7.091936,0.6670885,18,0.010173
800000,6.10718,12.811622,0.3212955,23,7.564959,0.711689,18,0.010173
850000,6.3731,13.61163,0.4113762,25,8.187959,0.7177246,19,0.010173
900000,6.9565,14.411606,0.4095476,26,8.520952,0.7934917,19,0.010173
950000,7.127943,15.211598,0.5563122,27,9.165374,0.7875033,19,0.010173
1000000,7.7957184,15.990446,0.4680514,28,10.093252,1.3247386,20,0.010173
